TF,PFM ID
ARNT2,MA1464.1
ATF2,MA1632.1
ATF3,MA0605.2
ATF4,MA0833.2
ATF6,MA1466.1
BCL6,MA0463.2
BHLHA15,MA1472.1
BHLHE40,MA0464.2
CEBPA,MA0102.4
CEBPB,MA0466.3
CEBPD,MA0836.2
CEBPG,MA0838.1
CREB1,MA0018.3
CREB3,MA0638.1
CREM,MA0609.2
DBP,MA0639.1
DLX6,MA0882.1
E2F1,MA0024.3
E2F2,MA0864.2
E2F4,MA0470.2
E2F8,MA0865.2
EGR1,MA0162.4
ELF1,MA0473.3
ELF4,MA0641.1
ELK1,MA0028.2
ELK4,MA0076.2
ESRRA,MA0592.3
ETS1,MA0098.3
ETV4,MA0764.3
ETV5,MA0765.3
ETV6,MA0645.1
FOSL1,MA0477.2
FOSL2,MA0478.1
FOXA1,MA0148.1
FOXA2,MA0047.3
FOXA3,MA1683.1
FOXC1,MA0032.2
FOXK1,MA0852.2
FOXK2,MA1103.2
FOXO4,MA0848.1
GABPA,MA0062.1
GATA2,MA0036.3
GATA4,MA0482.2
GFI1,MA0038.2
GMEB2,MA0862.1
GRHL1,MA0647.1
HIC2,MA0738.1
HINFP,MA0131.2
HLF,MA0043.3
HNF1A,MA0046.2
HNF4A,MA0114.4
HNF4G,MA0484.1
HOXA10,MA0899.1
HOXA5,MA0158.2
HOXA7,MA1498.2
HOXA9,MA0594.2
HSF2,MA0770.1
IKZF1,MA1508.1
IRF1,MA0050.2
IRF2,MA0051.1
IRF3,MA1418.1
IRF5,MA1420.1
IRF9,MA0653.1
ISL2,MA0914.1
ISX,MA0654.1
JUN,MA0488.1
JUND,MA0491.1
KLF11,MA1512.1
KLF12,MA0742.2
KLF13,MA0657.1
KLF15,MA1513.1
KLF16,MA0741.1
KLF6,MA1517.1
KLF9,MA1107.2
LBX2,MA0699.1
MAFF,MA0495.3
MAFG,MA0659.2
MAFK,MA0496.3
MAX,MA0058.3
MAZ,MA1522.1
MEF2A,MA0052.4
MEF2D,MA0773.1
MEIS1,MA0498.2
MEIS2,MA0774.1
MGA,MA0801.1
MIXL1,MA0662.1
MLX,MA0663.1
MNT,MA0825.1
MNX1,MA0707.2
MTF1,MA0863.1
MXI1,MA1108.2
MYBL2,MA0777.1
MYC,MA0147.3
MZF1,MA0056.2
NFATC3,MA0625.2
NFE2,MA0841.1
NFE2L2,MA0150.1
NFIA,MA0670.1
NFIB,MA1643.1
NFIC,MA0161.2
NFIL3,MA0025.2
NFKB2,MA0778.1
NFYA,MA0060.3
NFYB,MA0502.1
NFYC,MA1644.1
NR2C2,MA0504.1
NR2F1,MA0017.2
NR2F2,MA1111.1
NR2F6,MA1539.1
NR3C1,MA0113.3
NR5A1,MA1540.1
NRF1,MA0506.1
NRL,MA0842.2
ONECUT1,MA0679.2
ONECUT2,MA0756.2
PATZ1,MA1961.1
PBX2,MA1113.2
PBX3,MA1114.1
PITX1,MA0682.2
POU2F1,MA0785.1
PPARG,MA0066.1
PRDM4,MA1647.1
PROX1,MA0794.1
RARG,MA1553.1
RBPJ,MA1116.1
REL,MA0101.1
RELA,MA0107.1
REST,MA0138.2
RFX1,MA0509.3
RFX3,MA0798.3
RFX5,MA0510.2
RORA,MA0071.1
RREB1,MA0073.1
RXRB,MA0855.1
SIX1,MA1118.1
SMAD3,MA0795.1
SNAI1,MA1558.1
SOX13,MA1120.1
SOX18,MA1563.2
SP1,MA0079.3
SP2,MA0516.3
SP4,MA0685.2
SP5,MA1965.1
SRF,MA0083.1
SRY,MA0084.1
TBX2,MA0688.1
TBX3,MA1566.2
TCF12,MA1648.1
TCF3,MA0522.3
TCF7,MA0769.2
TCF7L2,MA0523.1
TEAD1,MA0090.3
TEAD2,MA1121.1
TEAD3,MA0808.1
TEAD4,MA0809.2
TEF,MA0843.1
TFAP4,MA0691.1
TFDP1,MA1122.1
TFE3,MA0831.2
TGIF2,MA0797.1
THRA,MA1969.1
THRB,MA1574.1
TP53,MA0106.3
USF1,MA0093.3
USF2,MA0526.4
XBP1,MA0844.1
YY1,MA0095.2
ZBTB14,MA1650.1
ZBTB26,MA1579.1
ZBTB33,MA0527.1
ZBTB7B,MA0694.1
ZEB1,MA0103.3
ZFP14,MA1972.1
ZKSCAN1,MA1585.1
ZKSCAN5,MA1652.1
ZNF143,MA0088.2
ZNF24,MA1124.1
ZNF263,MA0528.2
ZNF274,MA1592.1
ZNF281,MA1630.2
ZNF282,MA1154.1
ZNF317,MA1593.1
ZNF331,MA1726.1
ZNF343,MA1711.1
ZNF382,MA1594.1
ZNF384,MA1125.1
ZNF460,MA1596.1
ZNF530,MA1981.1
ZNF549,MA1728.1
ZNF574,MA1982.1
ZNF652,MA1657.1
ZNF707,MA1715.1
ZNF740,MA0753.2
ZNF75D,MA1601.2
ZNF784,MA1717.1
ZNF816,MA1719.1
ZSCAN29,MA1602.1
ZSCAN31,MA1722.1
