tf,hepg2_tpm,k562_tpm,log2fc,true_direction,baseline_motif_only_direction,baseline_pvalue,pipeline_chrombpnet_direction,pipeline_pvalue,baseline_correct,pipeline_correct
HNF4A,51.01,0.02,8.734427375279052,HepG2,HepG2,3.086834540547229e-28,HepG2,0.0,True,True
HNF4G,31.41,0.0,8.299665944130178,HepG2,HepG2,4.0723254429116475e-35,HepG2,0.0,True,True
FOXA1,60.32,0.9,5.916954278953217,HepG2,HepG2,1.4070950087890757e-08,HepG2,0.0,True,True
TCF7L2,24.95,1.68,3.814861457116173,HepG2,HepG2,0.24914960755422244,HepG2,0.0,True,True
FOXA2,50.44,1.29,5.184268876221267,HepG2,HepG2,0.0004687713675395371,HepG2,0.0,True,True
FOXC1,0.41,0.0,2.350497247084133,HepG2,HepG2,0.00031560739399102224,HepG2,0.0,True,True
FOXK2,73.32,28.13,1.3789439856498542,HepG2,HepG2,0.05249363747277201,HepG2,0.0,True,True
HNF1A,9.95,0.02,6.388017285345135,HepG2,HepG2,0.8558520133782592,HepG2,1.3438075184706622e-282,True,True
TCF7,16.76,6.35,1.3862334706314663,HepG2,HepG2,0.0011997431577205901,HepG2,2.5512482815992373e-278,True,True
SRY,0.59,0.0,2.7865963618908065,HepG2,HepG2,0.17204624735688656,HepG2,5.672712428388127e-240,True,True
ESRRA,4.87,24.39,-2.300875017001692,K562,HepG2,1.577402516638137e-13,HepG2,1.082296583568666e-229,False,False
CEBPG,44.6,12.36,1.8429707630466783,HepG2,HepG2,0.7703528376453503,HepG2,1.0939975640612625e-193,True,True
CEBPA,3.43,0.09,4.215596859827595,HepG2,HepG2,0.1610312844991516,HepG2,2.445537695549637e-192,True,True
TEAD1,16.75,7.27,1.1930120669741513,HepG2,HepG2,0.03127981016649518,HepG2,6.051144383820359e-189,True,True
TEAD2,4.33,13.76,-1.6455486535821953,K562,HepG2,0.0027336373462396595,HepG2,8.010155959991038e-180,False,False
EGR1,9.11,151.4,-4.03997282715634,K562,K562,0.25544686230513125,K562,3.0863648681556435e-162,True,True
CEBPB,33.19,13.02,1.3433211505221796,HepG2,HepG2,0.8964368890668631,HepG2,1.897128514866328e-152,True,True
E2F2,0.18,7.07,-4.6784743866443,K562,K562,0.007849143437575277,K562,1.5781149871342354e-150,True,True
NRF1,3.37,13.94,-2.0165353677263,K562,HepG2,0.0034652308868837176,K562,2.3670749501280196e-150,False,True
NR2F2,6.4,54.51,-3.070653533558447,K562,HepG2,4.242150743335348e-07,HepG2,9.75944721708587e-143,False,False
KLF12,1.33,0.03,3.4594316186372973,HepG2,K562,0.002047002848806267,K562,1.1831096205114816e-139,False,False
HLF,291.97,0.1,10.512098463870093,HepG2,HepG2,0.6498839250263215,HepG2,2.135142939254669e-139,True,True
SP2,3.56,21.06,-2.5314240738299834,K562,K562,0.0006197335475378262,K562,7.016027772397882e-126,True,True
NFIL3,176.84,9.51,4.202579987009143,HepG2,K562,0.9568598110298757,HepG2,1.4274910173859306e-123,False,True
NR2F1,77.01,0.01,9.453270634010623,HepG2,HepG2,6.745504028542614e-05,HepG2,2.671703791560177e-119,True,True
KLF6,33.74,11.31,1.5684307768312682,HepG2,K562,0.014759181253324693,K562,4.321772382677767e-117,False,False
RORA,33.26,0.23,6.65950945408621,HepG2,HepG2,2.0165012157881345e-05,HepG2,8.689368233126065e-114,True,True
ONECUT1,10.15,0.03,6.300968476251716,HepG2,HepG2,0.8437378688889606,HepG2,1.5492080660315643e-112,True,True
E2F8,1.2,7.02,-2.453365617937943,K562,K562,0.0009484962001585892,K562,1.792756726824014e-112,True,True
NR5A1,26.9,0.0,8.076815597050832,HepG2,HepG2,3.79433456772313e-11,HepG2,9.404847366645515e-111,True,True
SOX13,11.04,0.06,6.121533517340032,HepG2,HepG2,0.10343844263220499,HepG2,1.0764545927962976e-107,True,True
DBP,9.72,3.54,1.431784574115997,HepG2,K562,0.1289967211509373,HepG2,2.0911564198550704e-94,False,True
KLF16,0.72,18.17,-4.477708914009405,K562,K562,0.013640515511582827,K562,2.837913656080815e-91,True,True
ZNF460,1.84,0.86,1.0149503414659715,HepG2,K562,0.27713469781177125,K562,1.42596026734618e-81,False,False
SOX18,0.64,5.17,-2.832205786008265,K562,HepG2,0.6110606691446884,HepG2,7.363430061731557e-77,False,False
ONECUT2,2.77,0.64,1.955453561046738,HepG2,HepG2,2.027624855738826e-05,HepG2,9.78195834370382e-74,True,True
TEF,2.44,0.55,1.9663168737437113,HepG2,HepG2,0.047560346199870956,HepG2,2.0593635093841153e-72,True,True
ZBTB7B,5.51,19.95,-1.8375295607334898,K562,K562,0.6678298781146041,K562,1.6427914555747337e-71,True,True
SP4,0.36,1.69,-1.9602538212072438,K562,K562,0.04657449450004595,K562,1.4850328713727564e-70,True,True
SP1,8.88,18.23,-1.029419435798739,K562,K562,0.0013765458638200026,K562,5.469209865536042e-70,True,True
ATF4,413.92,203.11,1.0267290623189778,HepG2,K562,0.38750146115302686,HepG2,6.882694738096e-51,False,True
MNX1,0.67,2.1,-1.5145731728297582,K562,K562,0.014275763699826324,HepG2,1.6906905106539336e-50,True,False
ZNF740,26.59,9.86,1.4220816580738858,HepG2,HepG2,0.000457688177372935,K562,1.0966974871745968e-39,True,False
SP5,26.72,0.6,5.259810504959508,HepG2,K562,0.012180929479975594,K562,9.70696892908203e-37,False,False
ETV5,32.18,13.0,1.3010737668529677,HepG2,HepG2,0.13357528954752154,K562,1.7263305597588293e-35,True,False
GATA4,22.32,0.06,7.130570562805427,HepG2,K562,3.5340347130224355e-14,K562,2.408907876671013e-34,False,False
YY1,93.42,34.16,1.4487497784476573,HepG2,K562,2.9014601846081205e-05,K562,1.150878600745219e-27,False,False
ELK1,6.72,31.27,-2.201541884819431,K562,K562,0.3108127148649019,K562,7.639364236851025e-27,True,True
JUN,47.82,10.94,2.1178877360106165,HepG2,K562,0.9916104147656202,HepG2,1.588346478431573e-26,False,True
GATA2,5.37,97.16,-4.152233853446141,K562,K562,1.2322389885688089e-16,K562,2.836525330899397e-26,True,True
PRDM4,5.57,11.45,-1.0264722113611908,K562,K562,0.09713482652658914,HepG2,6.212368921282674e-26,True,False
ETV4,127.78,40.54,1.6538183420083545,HepG2,K562,0.04826081723995655,K562,1.2622368538918719e-24,False,False
NFATC3,16.24,32.81,-1.0101180429786658,K562,HepG2,0.42890042447649324,HepG2,1.423037643352873e-23,False,False
NFKB2,29.47,10.71,1.451767720385674,HepG2,HepG2,0.43960332229074073,K562,4.007669694210622e-21,True,False
ARNT2,1.84,0.04,3.7925579201295236,HepG2,K562,4.5849412498979624e-06,K562,7.007983893410861e-21,False,False
ELF4,3.01,29.65,-3.2579031829520657,K562,K562,0.0005459232128869508,K562,1.7476961878112437e-19,True,True
ZNF343,9.26,4.22,1.115477217419936,HepG2,HepG2,0.005926405660846663,K562,2.495040602141202e-19,True,False
TCF12,62.04,21.97,1.4934356118422267,HepG2,HepG2,0.0688037376606482,K562,2.659170819308689e-19,True,False
NR2F6,5.71,30.38,-2.3912528340887933,K562,HepG2,0.01697486737558012,HepG2,2.271984298609902e-18,False,False
DLX6,5.46,0.03,5.418501354582415,HepG2,K562,2.4995605544292136e-06,HepG2,2.793553910917521e-18,False,True
PROX1,26.79,0.01,7.9334224212355755,HepG2,K562,6.0566211517905e-07,K562,1.4776903744151135e-17,False,False
NFIB,1.63,0.74,1.0423108048579646,HepG2,K562,1.1854049294722699e-06,HepG2,9.059452774410466e-16,False,True
ZNF530,0.11,1.83,-3.20013961448932,K562,HepG2,0.6603444451875098,K562,5.997673449961109e-14,False,True
GRHL1,6.72,1.61,1.9957754141382744,HepG2,HepG2,0.8708453156386473,HepG2,1.644384454904606e-12,True,True
IRF3,23.08,91.05,-1.9753620899200248,K562,HepG2,0.007123941428492193,HepG2,4.470102129764662e-12,False,False
RFX5,7.47,16.04,-1.092275373292049,K562,HepG2,0.16330552714535784,HepG2,6.403238321818382e-12,False,False
ELK4,22.81,4.03,2.4717637718852297,HepG2,K562,0.0005414813571477275,K562,7.178957619147299e-12,False,False
MYBL2,13.4,86.48,-2.681074393274161,K562,HepG2,0.6243568752583426,HepG2,2.2811772104378317e-11,False,False
GFI1,5.77,0.81,2.6894220529113557,HepG2,HepG2,0.16162157310636183,HepG2,2.7838915016207055e-11,True,True
MIXL1,1.55,0.03,3.665882496104724,HepG2,K562,3.309192953288984e-05,HepG2,3.270863637436723e-11,False,True
