tf,mean_diff_strong,mean_diff_rest,pvalue,n_strong,error,effect_direction,tpm_a,tpm_b
HNF4G,0.6720595903229842,0.20673795152019103,0.0,16527,,HepG2,31.41,0.0
FOXA1,0.6265335192589185,0.21165195747253882,0.0,16579,,HepG2,60.32,0.9
HNF4A,0.5861081143513489,0.215599199285597,0.0,16804,,HepG2,51.01,0.02
FOXC1,0.5707842366392062,0.21798738622606412,0.0,16529,,HepG2,0.41,0.0
FOXA2,0.5265537486869527,0.22224428049665793,0.0,16851,,HepG2,50.44,1.29
FOXO4,0.5226856737340263,0.22158379784695184,0.0,17393,,HepG2,14.37,8.51
FOXK2,0.5135796550024251,0.22315386888403996,0.0,17139,,HepG2,73.32,28.13
FOXA3,0.5135796550024251,0.22315386888403996,0.0,17139,,HepG2,3.89,5.09
RXRB,0.4887774607235852,0.22710685672438177,0.0,16526,,HepG2,,
TCF7L2,0.48750160123377867,0.227022695751326,0.0,16655,,HepG2,24.95,1.68
FOXK1,0.4769363434314374,0.22207357227675276,0.0,20231,,HepG2,3.44,4.92
HNF1A,0.4804056758210054,0.2280371050824364,1.3438075184706622e-282,16526,,HepG2,9.95,0.02
THRB,0.46403359090042623,0.22985632348000973,1.3947314112744803e-274,16526,,HepG2,6.37,4.35
TCF7,0.45722688816011486,0.2274093799391652,2.551248281599237e-278,18599,,HepG2,16.76,6.35
SRY,0.45410086116442483,0.23077682668328597,5.672712428388127e-240,16648,,HepG2,0.59,0.0
TEAD3,0.43395331859388164,0.23302988527130805,3.302741496843581e-210,16651,,HepG2,6.58,5.89
ESRRA,0.43242661962558454,0.2321781580432282,1.082296583568666e-229,17410,,HepG2,4.87,24.39
TEAD4,0.42967803871827387,0.2325751592469944,3.3453998200242356e-209,17355,,HepG2,26.47,21.01
CEBPG,0.42858287223706626,0.23377192653265694,1.0939975640612626e-193,16544,,HepG2,44.6,12.36
CEBPD,0.4264812307339112,0.23360755972002367,3.126469347279369e-196,16851,,HepG2,4.27,3.07
CEBPA,0.4267028904329507,0.2339460798067268,2.445537695549637e-192,16571,,HepG2,3.43,0.09
TEAD1,0.42313862168112426,0.23408266098080385,6.051144383820359e-189,16776,,HepG2,16.75,7.27
TEAD2,0.41140312936238416,0.23297269116011352,8.010155959991038e-180,18803,,HepG2,4.33,13.76
CEBPB,0.4065186935889798,0.23622316577311808,1.897128514866328e-152,16547,,HepG2,33.19,13.02
HLF,0.4041524732397827,0.23641652994805554,2.135142939254669e-139,16609,,HepG2,291.97,0.1
NR2F2,0.3967436642975311,0.2364506874716389,9.75944721708587e-143,17345,,HepG2,6.4,54.51
NFIL3,0.39560331146401095,0.23738137205557805,1.4274910173859306e-123,16600,,HepG2,176.84,9.51
ONECUT1,0.39216732331255333,0.23770272344891538,1.5492080660315643e-112,16660,,HepG2,10.15,0.03
NR2F1,0.38782746763888665,0.23830200771075474,2.671703791560177e-119,16548,,HepG2,77.01,0.01
SOX13,0.38598014882023585,0.23758248975466242,1.0764545927962975e-107,17475,,HepG2,11.04,0.06
RORA,0.3836264055552101,0.2386827586709709,8.689368233126065e-114,16637,,HepG2,33.26,0.23
NR5A1,0.38087924515049,0.2389979324969949,9.404847366645514e-111,16629,,HepG2,26.9,0.0
DBP,0.3778519310179658,0.23941582391227872,2.0911564198550706e-94,16544,,HepG2,9.72,3.54
NR2C2,0.3741474731860345,0.23984420711399462,8.848260091793023e-93,16526,,HepG2,23.55,16.18
TEF,0.36616431963342855,0.2407194634082755,2.0593635093841153e-72,16540,,HepG2,2.44,0.55
SOX18,0.3652283004133025,0.24014986533551455,7.363430061731557e-77,17341,,HepG2,0.64,5.17
ONECUT2,0.36203546775344575,0.24116974103954306,9.781958343703819e-74,16551,,HepG2,2.77,0.64
ZNF24,0.3512473835654878,0.24238806643752936,5.581257741482809e-59,16527,,HepG2,24.88,28.37
MNX1,0.3464278370823621,0.24261861284017036,1.6906905106539336e-50,16964,,HepG2,0.67,2.1
ATF4,0.34233547075623605,0.2433677517593956,6.882694738096e-51,16543,,HepG2,413.92,203.11
