chrom,center,hepg2_score,k562_score,hepg2_vs_k562_diff,top_tf_matches
chr2,18800576,9.016399383544922,3.372213840484619,5.644185543060303,"FOXK1(raw=0.09,p=0.040,HepG2_tpm=3.4,K562_tpm=4.9),FOXO4(raw=0.14,p=0.079,HepG2_tpm=14.4,K562_tpm=8.5)"
chr19,53864566,8.847246170043945,3.248310089111328,5.598936080932617,"FOXA3(raw=0.45,p=0.010,HepG2_tpm=3.9,K562_tpm=5.1),FOXK1(raw=0.56,p=0.010,HepG2_tpm=3.4,K562_tpm=4.9)"
chr7,134997643,8.920574188232422,3.4682397842407227,5.452334403991699,"PBX2(raw=0.07,p=0.010,HepG2_tpm=nan,K562_tpm=nan),NFATC3(raw=0.29,p=0.089,HepG2_tpm=16.2,K562_tpm=32.8)"
chr22,33540279,8.88045883178711,3.678758144378662,5.201700687408447,"ISL2(raw=0.27,p=0.040,HepG2_tpm=4.8,K562_tpm=5.9),NFIC(raw=0.57,p=0.040,HepG2_tpm=12.0,K562_tpm=15.6)"
chr12,26745218,8.180803298950195,3.3599629402160645,4.820840358734131,"BHLHA15(raw=0.06,p=0.040,HepG2_tpm=0.6,K562_tpm=0.7),ZNF317(raw=0.42,p=0.040,HepG2_tpm=11.1,K562_tpm=21.5)"
chr16,13110502,7.998010635375977,3.181823253631592,4.816187381744385,"IKZF1(raw=0.05,p=0.010,HepG2_tpm=0.0,K562_tpm=35.4),NFE2(raw=0.11,p=0.010,HepG2_tpm=0.7,K562_tpm=164.6)"
chr5,139734052,8.885786056518555,4.117496967315674,4.768289089202881,"ZNF75D(raw=0.14,p=0.010,HepG2_tpm=1.2,K562_tpm=2.5),RBPJ(raw=0.88,p=0.079,HepG2_tpm=28.9,K562_tpm=18.9)"
chr7,47734663,8.424942016601562,3.6979823112487793,4.726959705352783,"NR2F2(raw=0.59,p=0.010,HepG2_tpm=6.4,K562_tpm=54.5),NR5A1(raw=0.08,p=0.050,HepG2_tpm=26.9,K562_tpm=0.0)"
chr7,47763431,8.715238571166992,4.027734756469727,4.687503814697266,"BHLHA15(raw=0.06,p=0.069,HepG2_tpm=0.6,K562_tpm=0.7),NFATC3(raw=0.29,p=0.139,HepG2_tpm=16.2,K562_tpm=32.8)"
chr5,135157152,7.874556064605713,3.2108983993530273,4.6636576652526855,"TCF7(raw=0.06,p=0.079,HepG2_tpm=16.8,K562_tpm=6.3)"
chr1,47181420,4.957446575164795,8.591629981994629,-3.634183406829834,"HOXA7(raw=0.08,p=0.040,HepG2_tpm=0.0,K562_tpm=0.0),RBPJ(raw=0.88,p=0.040,HepG2_tpm=28.9,K562_tpm=18.9)"
chr15,74389692,3.669321775436402,7.355695724487305,-3.6863739490509033,"GATA4(raw=0.05,p=0.010,HepG2_tpm=22.3,K562_tpm=0.1),GATA2(raw=0.49,p=0.040,HepG2_tpm=5.4,K562_tpm=97.2)"
chr7,116876960,3.392744779586792,7.206103801727295,-3.813359022140503,"GATA2(raw=0.49,p=0.020,HepG2_tpm=5.4,K562_tpm=97.2),GATA4(raw=0.10,p=0.030,HepG2_tpm=22.3,K562_tpm=0.1)"
chr19,6828885,3.440157175064087,7.298188209533691,-3.858031034469605,"FOXO4(raw=0.10,p=0.030,HepG2_tpm=14.4,K562_tpm=8.5),SNAI1(raw=0.22,p=0.059,HepG2_tpm=0.1,K562_tpm=7.5)"
chr17,1286206,4.50487756729126,8.521052360534668,-4.016174793243408,"NR5A1(raw=0.08,p=0.020,HepG2_tpm=26.9,K562_tpm=0.0),MAZ(raw=0.56,p=0.069,HepG2_tpm=315.9,K562_tpm=442.2)"
chr20,38692922,3.194793224334717,7.259371757507324,-4.064578533172607,"GATA4(raw=0.34,p=0.010,HepG2_tpm=22.3,K562_tpm=0.1),MEIS2(raw=0.19,p=0.010,HepG2_tpm=14.4,K562_tpm=28.5)"
chr4,38328401,2.5159404277801514,6.89654541015625,-4.380604982376099,"POU2F1(raw=0.10,p=0.010,HepG2_tpm=2.0,K562_tpm=3.8),TEAD3(raw=0.11,p=0.020,HepG2_tpm=6.6,K562_tpm=5.9)"
chr1,182869509,5.6796979904174805,10.111804962158203,-4.432106971740723,"GATA2(raw=0.49,p=0.020,HepG2_tpm=5.4,K562_tpm=97.2),GATA4(raw=0.10,p=0.030,HepG2_tpm=22.3,K562_tpm=0.1)"
chr3,14232813,3.3356966972351074,7.771625995635986,-4.435929298400879,"ZNF317(raw=0.06,p=0.010,HepG2_tpm=11.1,K562_tpm=21.5),BHLHA15(raw=0.21,p=0.030,HepG2_tpm=0.6,K562_tpm=0.7)"
chr9,70485418,3.5357227325439453,8.068755149841309,-4.533032417297363,"MAZ(raw=0.11,p=0.030,HepG2_tpm=315.9,K562_tpm=442.2),NFATC3(raw=0.29,p=0.079,HepG2_tpm=16.2,K562_tpm=32.8)"
