chrom,center,hepg2_score,k562_score,hepg2_vs_k562_diff
chr2,18800576,9.016399383544922,3.372213840484619,5.644185543060303
chr19,53864566,8.847246170043945,3.248310089111328,5.598936080932617
chr7,134997643,8.920574188232422,3.4682397842407227,5.452334403991699
chr22,33540279,8.88045883178711,3.678758144378662,5.201700687408447
chr12,26745218,8.180803298950195,3.3599629402160645,4.820840358734131
chr16,13110502,7.998010635375977,3.181823253631592,4.816187381744385
chr5,139734052,8.885786056518555,4.117496967315674,4.768289089202881
chr7,47734663,8.424942016601562,3.6979823112487793,4.726959705352783
chr7,47763431,8.715238571166992,4.027734756469727,4.687503814697266
chr5,135157152,7.874556064605713,3.2108983993530273,4.6636576652526855
chr22,23075899,8.629087448120117,3.996476650238037,4.63261079788208
chr13,51620699,8.468647003173828,3.8897905349731445,4.578856468200684
chr2,133766007,8.044329643249512,3.503469944000244,4.540859699249268
chr16,89822732,8.824167251586914,4.308929920196533,4.515237331390381
chr1,232831013,7.451565742492676,2.9376635551452637,4.513902187347412
chr2,231050454,8.637235641479492,4.125123500823975,4.512112140655518
chr2,162027846,7.485724449157715,2.9744739532470703,4.5112504959106445
chr14,68784401,7.990386962890625,3.4888181686401367,4.501568794250488
chr7,100004070,8.44589900970459,3.9894156455993652,4.456483364105225
chr9,115944667,8.171725273132324,3.722961902618408,4.448763370513916
chr12,4015577,8.53084945678711,4.089832305908203,4.441017150878906
chr16,81549326,8.465001106262207,4.031124591827393,4.4338765144348145
chr9,113504964,8.6146240234375,4.183260917663574,4.431363105773926
chr7,91565825,7.651105880737305,3.2310142517089844,4.42009162902832
chr9,114322943,8.002241134643555,3.592651844024658,4.4095892906188965
chr3,184559500,8.353636741638184,3.948007106781006,4.405629634857178
chr10,76051276,7.869091033935547,3.4818835258483887,4.387207508087158
chr2,53827077,7.360849380493164,2.973784923553467,4.387064456939697
chr9,6664900,8.138442993164062,3.758063793182373,4.3803791999816895
chr17,55287218,7.965139389038086,3.5914411544799805,4.3736982345581055
chr9,114329714,7.899417877197266,3.530151844024658,4.369266033172607
chr5,32233910,8.186756134033203,3.8192811012268066,4.3674750328063965
chr17,73798061,8.607549667358398,4.262144565582275,4.345405101776123
chr5,150307933,7.6695966720581055,3.3276219367980957,4.34197473526001
chr11,46718826,8.47440242767334,4.1382951736450195,4.33610725402832
chr1,47478174,8.028380393981934,3.6950178146362305,4.333362579345703
chr14,90513753,8.621356010437012,4.309408664703369,4.311947345733643
chr2,20585003,8.011235237121582,3.741464138031006,4.269771099090576
chr1,160131002,7.507632255554199,3.246490955352783,4.261141300201416
chr18,58407858,8.427199363708496,4.184392929077148,4.242806434631348
chr14,24817394,7.945908546447754,3.704185962677002,4.241722583770752
chr17,64150405,8.22553539276123,3.9866251945495605,4.23891019821167
chr16,89198030,8.431211471557617,4.233799934387207,4.19741153717041
chr11,952681,8.310138702392578,4.116909980773926,4.193228721618652
chr14,105499602,8.878231048583984,4.692229747772217,4.186001300811768
chr10,43864046,7.413735389709473,3.2307305335998535,4.183004856109619
chr2,260819,7.536230087280273,3.3607707023620605,4.175459384918213
chr2,186383056,6.900781631469727,2.7345080375671387,4.166273593902588
chr11,19821550,7.391651153564453,3.2366981506347656,4.1549530029296875
chr17,39695770,8.369369506835938,4.2145771980285645,4.154792308807373
chr5,80184671,7.56221866607666,3.425483226776123,4.136735439300537
chr2,101566825,7.731870651245117,3.5967483520507812,4.135122299194336
chr2,213188319,7.230037212371826,3.098567008972168,4.131470203399658
chr2,233063625,8.202144622802734,4.073622703552246,4.128521919250488
chr18,69753089,8.152644157409668,4.025997638702393,4.126646518707275
chr6,43290960,7.749268054962158,3.6258630752563477,4.1234049797058105
chr4,70182804,7.3422346115112305,3.2226319313049316,4.119602680206299
chr9,4839733,7.722057819366455,3.606656074523926,4.115401744842529
chr9,135994357,8.5634765625,4.449292182922363,4.114184379577637
chr9,81588244,8.417153358459473,4.312039852142334,4.105113506317139
chr15,52288570,7.948734283447266,3.8447465896606445,4.103987693786621
chr5,30505392,7.288619041442871,3.1885499954223633,4.100069046020508
chr2,189050103,7.3459882736206055,3.248322010040283,4.097666263580322
chr4,38133462,7.7065300941467285,3.609726905822754,4.096803188323975
chr2,203783879,7.353585243225098,3.2576756477355957,4.095909595489502
chr20,10263923,8.102670669555664,4.015587329864502,4.087083339691162
chr1,229273861,7.551605224609375,3.4660158157348633,4.085589408874512
chr11,27460322,7.377170562744141,3.299999237060547,4.077171325683594
chr10,44259289,7.274748802185059,3.200507640838623,4.0742411613464355
chr2,128170111,7.718036651611328,3.6499924659729004,4.068044185638428
chr15,98003083,7.868413925170898,3.8013548851013184,4.06705904006958
chr11,57778830,8.182060241699219,4.116098880767822,4.0659613609313965
chr14,24839886,7.2650041580200195,3.204594612121582,4.0604095458984375
chr22,48702606,8.05801010131836,4.001968860626221,4.056041240692139
chr17,71681876,7.296923637390137,3.2409963607788086,4.055927276611328
