chrom,center,hepg2_score,k562_score,hepg2_vs_k562_diff,top_tf_matches
chr1,47478174,8.028380393981934,3.6950178146362305,4.333362579345703,"MZF1(raw=0.06,p=0.010),TEAD1(raw=0.05,p=0.010),TEAD3(raw=0.11,p=0.010)"
chr1,22348797,7.934279441833496,4.050832748413086,3.88344669342041,"MEIS1(raw=0.65,p=0.218),SP5(raw=0.95,p=0.228)"
chr1,19052675,7.048802852630615,3.193974494934082,3.854828357696533,"TEAD1(raw=0.31,p=0.010),TEAD3(raw=0.17,p=0.010),TEAD4(raw=0.40,p=0.010)"
chr1,9435674,7.087700366973877,3.4733386039733887,3.614361763000488,"NR2F2(raw=0.59,p=0.020),HIC2(raw=0.09,p=0.198),MEIS1(raw=0.65,p=0.297)"
chr1,15189992,7.422391414642334,4.037569046020508,3.384822368621826,"NR2F2(raw=0.59,p=0.020),GATA2(raw=0.07,p=0.109),MEIS1(raw=0.65,p=0.188)"
chr1,42939332,6.829795837402344,3.4557900428771973,3.3740057945251465,"FOXO4(raw=0.10,p=0.069),NFATC3(raw=0.29,p=0.139),MEIS1(raw=0.07,p=0.673)"
chr1,14129336,6.4760050773620605,3.105940818786621,3.3700642585754395,"NFIA(raw=1.00,p=0.030),NFIC(raw=0.57,p=0.030),HIC2(raw=0.21,p=0.158)"
chr1,36487170,7.875069618225098,4.522924900054932,3.352144718170166,"CEBPD(raw=0.40,p=0.010),FOXO4(raw=0.44,p=0.010),FOXA2(raw=0.17,p=0.020)"
chr1,18480981,8.096556663513184,4.7691802978515625,3.327376365661621,"LBX2(raw=0.24,p=0.010),TEAD2(raw=0.54,p=0.020),MIXL1(raw=0.18,p=0.030)"
chr1,40919695,6.507267475128174,3.220062255859375,3.287205219268799,"ONECUT1(raw=0.05,p=0.010),MAZ(raw=0.56,p=0.030),ONECUT2(raw=0.05,p=0.030)"
chr1,33001491,3.727139472961426,5.471955299377441,-1.7448158264160156,"GATA2(raw=0.49,p=0.030),TCF7(raw=0.06,p=0.059),BHLHA15(raw=0.06,p=0.069)"
chr1,40057511,3.131617307662964,4.879283428192139,-1.7476661205291748,"NFYA(raw=0.15,p=0.010),ZNF384(raw=0.40,p=0.010),NFYC(raw=0.50,p=0.030)"
chr1,9768274,4.21655797958374,6.087413787841797,-1.8708558082580569,"SP1(raw=0.09,p=0.020),SP2(raw=0.29,p=0.050),KLF12(raw=0.40,p=0.069)"
chr1,7586644,4.068208694458008,5.955229759216309,-1.8870210647583008,"SOX18(raw=0.06,p=0.010),BHLHA15(raw=0.10,p=0.030),NFATC3(raw=0.29,p=0.040)"
chr1,27542686,4.731864929199219,6.635376453399658,-1.9035115242004397,"FOSL1(raw=0.09,p=0.010),RBPJ(raw=0.88,p=0.059),ZEB1(raw=0.82,p=0.059)"
chr1,27074329,3.324211597442627,5.25799036026001,-1.9337787628173828,"FOSL1(raw=0.25,p=0.010),JUND(raw=0.06,p=0.010),BHLHA15(raw=0.06,p=0.050)"
chr1,17569330,3.946136951446533,5.9798760414123535,-2.0337390899658203,"GATA4(raw=0.34,p=0.010),MGA(raw=0.08,p=0.010),BHLHA15(raw=0.21,p=0.020)"
chr1,9275857,4.641596794128418,6.866852760314941,-2.225255966186523,"MEIS2(raw=0.06,p=0.010),BHLHA15(raw=0.21,p=0.030),MEIS1(raw=0.65,p=0.218)"
chr1,18531112,3.6492555141448975,6.005257606506348,-2.35600209236145,"GATA4(raw=0.34,p=0.020),IKZF1(raw=0.05,p=0.020),ZKSCAN1(raw=0.22,p=0.020)"
chr1,47181420,4.957446575164795,8.591629981994629,-3.634183406829834,"SNAI1(raw=0.41,p=0.040),TCF3(raw=0.51,p=0.040),RBPJ(raw=0.88,p=0.059)"
